Name,Code,StartDate,EndDate,PolicyType,PolicyContent,PolicyValue,Flag
Afghanistan,AFG,20200325,20200411,C7,Restrictions on internal movement,1,0
Afghanistan,AFG,20200328,,C5,Close public transport,2,0
Afghanistan,AFG,20200405,,C4,Restrictions on gatherings,4,1
Afghanistan,AFG,20200412,,C7,Restrictions on internal movement,2,0
Angola,AGO,20200206,20200229,C8,International travel controls,2,
Angola,AGO,20200226,20200331,H2,Testing policy,1,
Angola,AGO,20200301,20200319,C8,International travel controls,3,
Angola,AGO,20200320,,C8,International travel controls,4,
Angola,AGO,20200324,,C1,School closing,3,1
Angola,AGO,20200324,20200326,C4,Restrictions on gatherings,2,1
Angola,AGO,20200324,20200516,H1,Public information campaigns,1,1
Angola,AGO,20200327,20200422,C2,Workplace closing,3,1
Angola,AGO,20200327,,C3,Cancel public events,2,1
Angola,AGO,20200327,20200507,C4,Restrictions on gatherings,4,1
Angola,AGO,20200327,20200422,C5,Close public transport,2,1
Angola,AGO,20200327,20200525,C6,Stay at home requirements,2,1
Angola,AGO,20200327,20200422,C7,Restrictions on internal movement,2,1
Angola,AGO,20200401,,H2,Testing policy,2,
Angola,AGO,20200409,,E2,Debt/contract relief,2,
Angola,AGO,20200423,,C2,Workplace closing,2,1
Angola,AGO,20200423,,C5,Close public transport,1,1
Angola,AGO,20200423,,C7,Restrictions on internal movement,2,0
Angola,AGO,20200508,,C4,Restrictions on gatherings,3,1
Angola,AGO,20200517,,H1,Public information campaigns,2,1
Angola,AGO,20200526,,C6,Stay at home requirements,1,1
Albania,ALB,20200214,20200309,H1,Public information campaigns,1,1
Albania,ALB,20200225,20200310,C8,International travel controls,1,
Albania,ALB,20200308,20200420,H2,Testing policy,1,
Albania,ALB,20200308,20200525,H3,Contact tracing,1,
Albania,ALB,20200309,20200517,C1,School closing,3,1
Albania,ALB,20200309,,C3,Cancel public events,2,1
Albania,ALB,20200309,20200417,C4,Restrictions on gatherings,2,1
Albania,ALB,20200310,,H1,Public information campaigns,2,1
Albania,ALB,20200311,,C2,Workplace closing,2,1
Albania,ALB,20200311,20200314,C8,International travel controls,2,
Albania,ALB,20200313,20200525,C5,Close public transport,2,0
Albania,ALB,20200313,20200531,C6,Stay at home requirements,2,1
Albania,ALB,20200313,20200517,C7,Restrictions on internal movement,2,1
Albania,ALB,20200315,20200322,C8,International travel controls,3,
Albania,ALB,20200319,20200414,E1,Income support,1,0
Albania,ALB,20200320,20200525,E2,Debt/contract relief,1,
Albania,ALB,20200323,20200531,C8,International travel controls,4,
Albania,ALB,20200415,20200525,E1,Income support,2,0
Albania,ALB,20200418,,C4,Restrictions on gatherings,4,1
Albania,ALB,20200421,20200525,H2,Testing policy,2,
Albania,ALB,20200518,,C1,School closing,2,1
Albania,ALB,20200518,20200531,C7,Restrictions on internal movement,2,0
Albania,ALB,20200526,,C5,Close public transport,2,1
Albania,ALB,20200526,,E1,Income support,1,1
Albania,ALB,20200526,,E2,Debt/contract relief,2,
Albania,ALB,20200526,,H2,Testing policy,1,
Albania,ALB,20200526,,H3,Contact tracing,2,
Albania,ALB,20200601,,C6,Stay at home requirements,0,
Albania,ALB,20200601,,C7,Restrictions on internal movement,0,
Albania,ALB,20200601,,C8,International travel controls,3,
Andorra,AND,20200302,20200417,H2,Testing policy,1,
Andorra,AND,20200313,,C3,Cancel public events,1,1
Andorra,AND,20200313,,C6,Stay at home requirements,1,1
Andorra,AND,20200313,,E1,Income support,2,1
Andorra,AND,20200314,20200419,C2,Workplace closing,3,1
Andorra,AND,20200316,20200601,C1,School closing,3,1
Andorra,AND,20200325,,C5,Close public transport,1,1
Andorra,AND,20200325,,H1,Public information campaigns,2,1
Andorra,AND,20200327,,H3,Contact tracing,1,
Andorra,AND,20200408,20200510,C8,International travel controls,3,
Andorra,AND,20200418,,H2,Testing policy,3,
Andorra,AND,20200420,,C2,Workplace closing,2,1
Andorra,AND,20200509,,E2,Debt/contract relief,2,
Andorra,AND,20200511,,C8,International travel controls,2,
Andorra,AND,20200602,,C1,School closing,0,
United Arab Emirates,ARE,20200123,20200223,C8,International travel controls,1,
United Arab Emirates,ARE,20200201,,H3,Contact tracing,2,
United Arab Emirates,ARE,20200224,20200324,C8,International travel controls,3,
United Arab Emirates,ARE,20200301,20200307,C1,School closing,2,0
United Arab Emirates,ARE,20200301,20200324,C2,Workplace closing,1,0
United Arab Emirates,ARE,20200308,,C1,School closing,3,1
United Arab Emirates,ARE,20200310,20200412,H2,Testing policy,1,
United Arab Emirates,ARE,20200311,,H1,Public information campaigns,2,1
United Arab Emirates,ARE,20200313,20200322,C6,Stay at home requirements,1,0
United Arab Emirates,ARE,20200316,,C3,Cancel public events,2,1
United Arab Emirates,ARE,20200321,,E2,Debt/contract relief,2,
United Arab Emirates,ARE,20200323,20200514,C6,Stay at home requirements,2,1
United Arab Emirates,ARE,20200323,20200428,C7,Restrictions on internal movement,2,1
United Arab Emirates,ARE,20200325,20200513,C2,Workplace closing,2,1
United Arab Emirates,ARE,20200325,,C8,International travel controls,4,
United Arab Emirates,ARE,20200326,20200403,C5,Close public transport,1,0
United Arab Emirates,ARE,20200327,,C4,Restrictions on gatherings,4,1
United Arab Emirates,ARE,20200404,20200416,C5,Close public transport,2,0
United Arab Emirates,ARE,20200413,,H2,Testing policy,3,
United Arab Emirates,ARE,20200417,,C5,Close public transport,1,1
United Arab Emirates,ARE,20200429,,C7,Restrictions on internal movement,1,1
United Arab Emirates,ARE,20200514,,C2,Workplace closing,2,0
United Arab Emirates,ARE,20200515,20200517,C6,Stay at home requirements,1,0
United Arab Emirates,ARE,20200518,,C6,Stay at home requirements,0,
Argentina,ARG,20200123,,H1,Public information campaigns,2,1
Argentina,ARG,20200304,,H2,Testing policy,1,
Argentina,ARG,20200304,,H3,Contact tracing,2,
Argentina,ARG,20200311,20200319,C3,Cancel public events,2,0
Argentina,ARG,20200311,20200315,C8,International travel controls,2,
Argentina,ARG,20200316,,C1,School closing,3,1
Argentina,ARG,20200316,,C8,International travel controls,4,
Argentina,ARG,20200319,20200426,C2,Workplace closing,3,1
Argentina,ARG,20200319,,C4,Restrictions on gatherings,4,1
Argentina,ARG,20200319,20200426,C6,Stay at home requirements,3,1
Argentina,ARG,20200320,,C3,Cancel public events,2,1
Argentina,ARG,20200320,20200426,C7,Restrictions on internal movement,2,1
Argentina,ARG,20200323,,C5,Close public transport,2,1
Argentina,ARG,20200323,,E1,Income support,1,1
Argentina,ARG,20200325,,E2,Debt/contract relief,2,
Argentina,ARG,20200427,,C2,Workplace closing,2,0
Argentina,ARG,20200427,,C6,Stay at home requirements,2,1
Argentina,ARG,20200427,20200510,C7,Restrictions on internal movement,1,1
Argentina,ARG,20200511,,C7,Restrictions on internal movement,2,1
Australia,AUS,20200125,20200202,H1,Public information campaigns,2,0
Australia,AUS,20200125,20200514,H2,Testing policy,1,
Australia,AUS,20200125,20200322,H3,Contact tracing,2,
Australia,AUS,20200201,20200319,C8,International travel controls,3,
Australia,AUS,20200203,,H1,Public information campaigns,2,1
Australia,AUS,20200312,20200321,E1,Income support,1,0
Australia,AUS,20200316,20200317,C3,Cancel public events,1,0
Australia,AUS,20200316,20200323,C4,Restrictions on gatherings,2,1
Australia,AUS,20200318,20200328,C3,Cancel public events,2,0
Australia,AUS,20200319,,C7,Restrictions on internal movement,2,0
Australia,AUS,20200320,,C8,International travel controls,4,
Australia,AUS,20200322,,E1,Income support,1,1
Australia,AUS,20200323,20200514,C2,Workplace closing,2,0
Australia,AUS,20200323,,H3,Contact tracing,1,
Australia,AUS,20200324,20200417,C1,School closing,3,0
Australia,AUS,20200324,20200328,C4,Restrictions on gatherings,3,0
Australia,AUS,20200324,20200401,C6,Stay at home requirements,1,1
Australia,AUS,20200325,,E2,Debt/contract relief,2,
Australia,AUS,20200329,,C3,Cancel public events,2,1
Australia,AUS,20200329,20200515,C4,Restrictions on gatherings,4,1
Australia,AUS,20200402,20200514,C6,Stay at home requirements,2,0
Australia,AUS,20200418,20200608,C1,School closing,2,0
Australia,AUS,20200515,,C2,Workplace closing,1,1
Australia,AUS,20200515,20200524,C6,Stay at home requirements,1,1
Australia,AUS,20200515,,H2,Testing policy,2,
Australia,AUS,20200516,20200531,C4,Restrictions on gatherings,4,0
Australia,AUS,20200525,20200528,C6,Stay at home requirements,1,0
Australia,AUS,20200529,,C6,Stay at home requirements,0,
Australia,AUS,20200601,,C4,Restrictions on gatherings,3,1
Australia,AUS,20200609,,C1,School closing,0,
Austria,AUT,20200201,20200322,H2,Testing policy,1,
Austria,AUT,20200224,,H1,Public information campaigns,2,1
Austria,AUT,20200225,20200329,H3,Contact tracing,1,
Austria,AUT,20200309,20200603,C8,International travel controls,3,
Austria,AUT,20200311,,C3,Cancel public events,2,1
Austria,AUT,20200312,20200315,C2,Workplace closing,1,1
Austria,AUT,20200313,20200510,C5,Close public transport,1,1
Austria,AUT,20200313,20200422,C7,Restrictions on internal movement,2,0
Austria,AUT,20200316,20200503,C1,School closing,3,1
Austria,AUT,20200316,20200413,C2,Workplace closing,3,1
Austria,AUT,20200316,20200501,C4,Restrictions on gatherings,4,1
Austria,AUT,20200316,20200430,C6,Stay at home requirements,2,1
Austria,AUT,20200316,,E2,Debt/contract relief,2,
Austria,AUT,20200319,,E1,Income support,2,0
Austria,AUT,20200323,20200528,H2,Testing policy,2,
Austria,AUT,20200330,,H3,Contact tracing,2,
Austria,AUT,20200414,,C2,Workplace closing,2,1
Austria,AUT,20200423,20200528,C7,Restrictions on internal movement,1,1
Austria,AUT,20200501,,C6,Stay at home requirements,0,
Austria,AUT,20200502,,C4,Restrictions on gatherings,3,1
Austria,AUT,20200504,20200517,C1,School closing,2,1
Austria,AUT,20200511,,C5,Close public transport,0,
Austria,AUT,20200518,20200602,C1,School closing,1,1
Austria,AUT,20200529,,C7,Restrictions on internal movement,0,
Austria,AUT,20200529,,H2,Testing policy,3,
Austria,AUT,20200603,,C1,School closing,0,
Austria,AUT,20200604,,C8,International travel controls,2,
Azerbaijan,AZE,20200130,20200228,C8,International travel controls,1,
Azerbaijan,AZE,20200227,,H1,Public information campaigns,2,1
Azerbaijan,AZE,20200227,20200302,H2,Testing policy,1,
Azerbaijan,AZE,20200228,20200305,H3,Contact tracing,2,
Azerbaijan,AZE,20200229,20200415,C8,International travel controls,3,
Azerbaijan,AZE,20200303,,C1,School closing,3,1
Azerbaijan,AZE,20200303,,H2,Testing policy,2,
Azerbaijan,AZE,20200306,,H3,Contact tracing,1,
Azerbaijan,AZE,20200310,20200313,C3,Cancel public events,1,1
Azerbaijan,AZE,20200314,,C3,Cancel public events,2,1
Azerbaijan,AZE,20200314,,C4,Restrictions on gatherings,4,1
Azerbaijan,AZE,20200319,20200330,C7,Restrictions on internal movement,2,0
Azerbaijan,AZE,20200323,20200330,C2,Workplace closing,2,1
Azerbaijan,AZE,20200331,20200426,C2,Workplace closing,3,1
Azerbaijan,AZE,20200331,20200508,C5,Close public transport,1,0
Azerbaijan,AZE,20200331,20200517,C6,Stay at home requirements,3,1
Azerbaijan,AZE,20200331,,C7,Restrictions on internal movement,2,1
Azerbaijan,AZE,20200408,,E1,Income support,2,1
Azerbaijan,AZE,20200416,,C8,International travel controls,4,
Azerbaijan,AZE,20200427,,C2,Workplace closing,2,1
Azerbaijan,AZE,20200509,,C5,Close public transport,0,
Azerbaijan,AZE,20200518,20200602,C6,Stay at home requirements,1,1
Azerbaijan,AZE,20200603,,C6,Stay at home requirements,3,1
Burundi,BDI,20200201,20200413,H1,Public information campaigns,1,1
Burundi,BDI,20200305,20200321,C8,International travel controls,2,
Burundi,BDI,20200322,20200403,C8,International travel controls,3,
Burundi,BDI,20200331,,H2,Testing policy,1,
Burundi,BDI,20200401,20200507,H3,Contact tracing,2,
Burundi,BDI,20200404,,C8,International travel controls,4,
Burundi,BDI,20200414,,H1,Public information campaigns,2,1
Burundi,BDI,20200508,,H3,Contact tracing,1,
Belgium,BEL,20200128,20200130,H1,Public information campaigns,1,1
Belgium,BEL,20200131,,H1,Public information campaigns,2,1
Belgium,BEL,20200226,20200312,H3,Contact tracing,2,
Belgium,BEL,20200301,20200306,H2,Testing policy,3,
Belgium,BEL,20200304,20200319,C8,International travel controls,1,
Belgium,BEL,20200306,,E1,Income support,2,0
Belgium,BEL,20200306,,E2,Debt/contract relief,2,
Belgium,BEL,20200307,20200503,H2,Testing policy,1,
Belgium,BEL,20200310,20200313,C3,Cancel public events,1,1
Belgium,BEL,20200313,20200313,C2,Workplace closing,1,1
Belgium,BEL,20200313,,H3,Contact tracing,1,
Belgium,BEL,20200314,20200604,C1,School closing,2,1
Belgium,BEL,20200314,20200317,C2,Workplace closing,2,1
Belgium,BEL,20200314,,C3,Cancel public events,2,1
Belgium,BEL,20200314,20200607,C7,Restrictions on internal movement,2,1
Belgium,BEL,20200318,20200510,C2,Workplace closing,3,1
Belgium,BEL,20200318,20200607,C4,Restrictions on gatherings,4,1
Belgium,BEL,20200318,20200607,C6,Stay at home requirements,2,1
Belgium,BEL,20200320,20200504,C8,International travel controls,4,
Belgium,BEL,20200504,,H2,Testing policy,2,
Belgium,BEL,20200505,,C8,International travel controls,3,
Belgium,BEL,20200511,,C2,Workplace closing,2,1
Belgium,BEL,20200605,,C1,School closing,1,1
Belgium,BEL,20200608,,C4,Restrictions on gatherings,3,1
Belgium,BEL,20200608,,C6,Stay at home requirements,0,
Belgium,BEL,20200608,,C7,Restrictions on internal movement,0,
Benin,BEN,20200201,20200309,C8,International travel controls,1,
Benin,BEN,20200222,20200229,H1,Public information campaigns,1,1
Benin,BEN,20200301,,H1,Public information campaigns,2,1
Benin,BEN,20200307,,H3,Contact tracing,2,
Benin,BEN,20200308,20200419,H2,Testing policy,1,
Benin,BEN,20200310,20200516,C8,International travel controls,2,
Benin,BEN,20200317,,C3,Cancel public events,2,1
Benin,BEN,20200330,20200510,C1,School closing,3,1
Benin,BEN,20200330,,C2,Workplace closing,2,0
Benin,BEN,20200330,20200510,C4,Restrictions on gatherings,4,0
Benin,BEN,20200330,20200601,C5,Close public transport,2,0
Benin,BEN,20200330,20200510,C7,Restrictions on internal movement,2,0
Benin,BEN,20200420,,H2,Testing policy,2,
Benin,BEN,20200511,,C1,School closing,2,1
Benin,BEN,20200511,,C4,Restrictions on gatherings,3,1
Benin,BEN,20200511,,C7,Restrictions on internal movement,0,
Benin,BEN,20200517,20200517,C8,International travel controls,4,
Benin,BEN,20200518,,C8,International travel controls,2,
Benin,BEN,20200602,,C5,Close public transport,0,
Burkina Faso,BFA,20200205,,H2,Testing policy,1,
Burkina Faso,BFA,20200309,,H3,Contact tracing,2,
Burkina Faso,BFA,20200312,,C3,Cancel public events,2,1
Burkina Faso,BFA,20200316,20200531,C1,School closing,3,1
Burkina Faso,BFA,20200316,,H1,Public information campaigns,2,1
Burkina Faso,BFA,20200321,20200513,C2,Workplace closing,2,1
Burkina Faso,BFA,20200321,20200503,C4,Restrictions on gatherings,1,1
Burkina Faso,BFA,20200321,,C6,Stay at home requirements,2,1
Burkina Faso,BFA,20200321,20200504,C7,Restrictions on internal movement,2,1
Burkina Faso,BFA,20200321,,C8,International travel controls,4,
Burkina Faso,BFA,20200323,20200504,C5,Close public transport,2,1
Burkina Faso,BFA,20200504,,C4,Restrictions on gatherings,3,1
Burkina Faso,BFA,20200505,,C5,Close public transport,0,
Burkina Faso,BFA,20200505,,C7,Restrictions on internal movement,0,
Burkina Faso,BFA,20200514,,C2,Workplace closing,0,
Burkina Faso,BFA,20200601,,C1,School closing,0,
Bangladesh,BGD,20200121,20200127,H1,Public information campaigns,1,1
Bangladesh,BGD,20200122,20200315,C8,International travel controls,1,
Bangladesh,BGD,20200124,,H3,Contact tracing,1,
Bangladesh,BGD,20200128,,H1,Public information campaigns,2,1
Bangladesh,BGD,20200301,20200307,H2,Testing policy,1,
Bangladesh,BGD,20200308,,H2,Testing policy,2,
Bangladesh,BGD,20200316,,C1,School closing,3,1
Bangladesh,BGD,20200316,20200320,C3,Cancel public events,1,1
Bangladesh,BGD,20200316,20200330,C8,International travel controls,2,
Bangladesh,BGD,20200319,20200325,C2,Workplace closing,3,0
Bangladesh,BGD,20200319,,C4,Restrictions on gatherings,4,1
Bangladesh,BGD,20200319,20200410,C5,Close public transport,2,0
Bangladesh,BGD,20200319,20200324,C6,Stay at home requirements,2,0
Bangladesh,BGD,20200319,20200324,C7,Restrictions on internal movement,2,0
Bangladesh,BGD,20200319,20200403,E2,Debt/contract relief,1,
Bangladesh,BGD,20200321,,C3,Cancel public events,2,1
Bangladesh,BGD,20200325,20200409,C6,Stay at home requirements,1,1
Bangladesh,BGD,20200325,,C7,Restrictions on internal movement,2,1
Bangladesh,BGD,20200326,20200430,C2,Workplace closing,3,1
Bangladesh,BGD,20200331,,C8,International travel controls,3,
Bangladesh,BGD,20200404,,E2,Debt/contract relief,2,
Bangladesh,BGD,20200410,,C6,Stay at home requirements,2,1
Bangladesh,BGD,20200411,,C5,Close public transport,2,1
Bangladesh,BGD,20200413,20200513,E1,Income support,1,1
Bangladesh,BGD,20200501,20200516,C2,Workplace closing,2,1
Bangladesh,BGD,20200514,,E1,Income support,0,
Bangladesh,BGD,20200517,,C2,Workplace closing,3,1
Bulgaria,BGR,20200203,20200316,C8,International travel controls,1,
Bulgaria,BGR,20200211,20200223,H1,Public information campaigns,1,1
Bulgaria,BGR,20200224,,H1,Public information campaigns,2,1
Bulgaria,BGR,20200305,20200312,C1,School closing,2,1
Bulgaria,BGR,20200308,,H2,Testing policy,1,
Bulgaria,BGR,20200311,20200312,C3,Cancel public events,1,1
Bulgaria,BGR,20200313,20200520,C1,School closing,3,1
Bulgaria,BGR,20200313,,C2,Workplace closing,1,1
Bulgaria,BGR,20200313,20200529,C3,Cancel public events,2,1
Bulgaria,BGR,20200313,20200530,C4,Restrictions on gatherings,4,1
Bulgaria,BGR,20200317,20200513,C8,International travel controls,3,
Bulgaria,BGR,20200318,20200331,C6,Stay at home requirements,2,0
Bulgaria,BGR,20200318,20200320,C7,Restrictions on internal movement,2,0
Bulgaria,BGR,20200321,20200505,C7,Restrictions on internal movement,2,1
Bulgaria,BGR,20200330,,E1,Income support,2,0
Bulgaria,BGR,20200401,20200414,C6,Stay at home requirements,1,1
Bulgaria,BGR,20200410,,E2,Debt/contract relief,2,
Bulgaria,BGR,20200415,20200507,C6,Stay at home requirements,2,0
Bulgaria,BGR,20200429,,H3,Contact tracing,2,
Bulgaria,BGR,20200506,,C7,Restrictions on internal movement,0,
Bulgaria,BGR,20200508,20200530,C6,Stay at home requirements,1,1
Bulgaria,BGR,20200514,20200521,C8,International travel controls,4,
Bulgaria,BGR,20200521,,C1,School closing,2,1
Bulgaria,BGR,20200522,,C8,International travel controls,3,
Bulgaria,BGR,20200530,,C3,Cancel public events,1,1
Bulgaria,BGR,20200531,,C4,Restrictions on gatherings,3,1
Bulgaria,BGR,20200531,,C6,Stay at home requirements,0,
Bahrain,BHR,20200122,20200218,H1,Public information campaigns,2,0
Bahrain,BHR,20200127,20200211,C8,International travel controls,1,
Bahrain,BHR,20200201,20200318,E2,Debt/contract relief,1,
Bahrain,BHR,20200209,20200225,H2,Testing policy,1,
Bahrain,BHR,20200212,,C8,International travel controls,3,
Bahrain,BHR,20200219,,H1,Public information campaigns,2,1
Bahrain,BHR,20200223,,H3,Contact tracing,2,
Bahrain,BHR,20200224,20200225,C1,School closing,2,0
Bahrain,BHR,20200226,,C1,School closing,3,1
Bahrain,BHR,20200226,20200330,H2,Testing policy,2,
Bahrain,BHR,20200318,20200325,C2,Workplace closing,2,1
Bahrain,BHR,20200318,,C3,Cancel public events,2,1
Bahrain,BHR,20200318,20200321,C4,Restrictions on gatherings,3,1
Bahrain,BHR,20200318,,C6,Stay at home requirements,1,1
Bahrain,BHR,20200318,,C7,Restrictions on internal movement,1,1
Bahrain,BHR,20200319,,E2,Debt/contract relief,2,
Bahrain,BHR,20200322,,C4,Restrictions on gatherings,4,1
Bahrain,BHR,20200326,20200408,C2,Workplace closing,3,1
Bahrain,BHR,20200328,,C5,Close public transport,1,1
Bahrain,BHR,20200331,,H2,Testing policy,3,
Bahrain,BHR,20200401,,E1,Income support,2,0
Bahrain,BHR,20200409,,C2,Workplace closing,2,1
Bosnia and Herzegovina,BIH,20200131,,H1,Public information campaigns,2,1
Bosnia and Herzegovina,BIH,20200225,,H2,Testing policy,2,
Bosnia and Herzegovina,BIH,20200301,20200426,E1,Income support,1,0
Bosnia and Herzegovina,BIH,20200301,20200426,E2,Debt/contract relief,2,
Bosnia and Herzegovina,BIH,20200310,,C3,Cancel public events,2,1
Bosnia and Herzegovina,BIH,20200310,20200317,C4,Restrictions on gatherings,2,0
Bosnia and Herzegovina,BIH,20200310,20200510,C8,International travel controls,3,
Bosnia and Herzegovina,BIH,20200311,,C1,School closing,3,1
Bosnia and Herzegovina,BIH,20200316,20200319,C7,Restrictions on internal movement,1,1
Bosnia and Herzegovina,BIH,20200317,20200510,C2,Workplace closing,3,1
Bosnia and Herzegovina,BIH,20200317,20200409,C5,Close public transport,2,0
Bosnia and Herzegovina,BIH,20200318,20200528,C4,Restrictions on gatherings,4,1
Bosnia and Herzegovina,BIH,20200320,20200423,C6,Stay at home requirements,3,0
Bosnia and Herzegovina,BIH,20200320,20200528,C7,Restrictions on internal movement,2,0
Bosnia and Herzegovina,BIH,20200410,20200510,C5,Close public transport,2,1
Bosnia and Herzegovina,BIH,20200424,20200513,C6,Stay at home requirements,2,1
Bosnia and Herzegovina,BIH,20200427,20200526,E1,Income support,2,0
Bosnia and Herzegovina,BIH,20200427,,E2,Debt/contract relief,1,
Bosnia and Herzegovina,BIH,20200511,,C2,Workplace closing,2,1
Bosnia and Herzegovina,BIH,20200511,20200514,C5,Close public transport,1,0
Bosnia and Herzegovina,BIH,20200511,20200531,C8,International travel controls,4,
Bosnia and Herzegovina,BIH,20200514,20200520,C6,Stay at home requirements,2,0
Bosnia and Herzegovina,BIH,20200515,,C5,Close public transport,0,
Bosnia and Herzegovina,BIH,20200521,,C6,Stay at home requirements,0,
Bosnia and Herzegovina,BIH,20200527,,E1,Income support,1,0
Bosnia and Herzegovina,BIH,20200529,,C4,Restrictions on gatherings,3,1
Bosnia and Herzegovina,BIH,20200529,,C7,Restrictions on internal movement,1,1
Bosnia and Herzegovina,BIH,20200601,,C8,International travel controls,3,
Belarus,BLR,20200314,,C8,International travel controls,3,
Belarus,BLR,20200404,20200419,C1,School closing,3,1
Belarus,BLR,20200409,,H3,Contact tracing,2,
Belarus,BLR,20200420,,C1,School closing,0,
Belarus,BLR,20200420,,H1,Public information campaigns,1,1
Belarus,BLR,20200420,,H2,Testing policy,3,
Belarus,BLR,20200424,,E1,Income support,1,0
Belize,BLZ,20200218,20200227,H1,Public information campaigns,1,1
Belize,BLZ,20200228,,H1,Public information campaigns,2,1
Belize,BLZ,20200311,20200312,C8,International travel controls,1,
Belize,BLZ,20200313,20200314,C8,International travel controls,2,
Belize,BLZ,20200315,20200319,C8,International travel controls,3,
Belize,BLZ,20200316,,C3,Cancel public events,2,1
Belize,BLZ,20200316,20200514,C4,Restrictions on gatherings,3,1
Belize,BLZ,20200316,,E1,Income support,1,1
Belize,BLZ,20200320,,C1,School closing,3,1
Belize,BLZ,20200320,20200331,C2,Workplace closing,1,0
Belize,BLZ,20200320,,C8,International travel controls,4,
Belize,BLZ,20200325,,H2,Testing policy,1,
Belize,BLZ,20200325,,H3,Contact tracing,2,
Belize,BLZ,20200401,20200426,C2,Workplace closing,3,1
Belize,BLZ,20200427,20200514,C2,Workplace closing,1,0
Belize,BLZ,20200427,20200514,C5,Close public transport,1,0
Belize,BLZ,20200427,20200514,C6,Stay at home requirements,2,0
Belize,BLZ,20200427,20200518,C7,Restrictions on internal movement,2,0
Belize,BLZ,20200515,20200531,C2,Workplace closing,3,1
Belize,BLZ,20200515,,C4,Restrictions on gatherings,4,1
Belize,BLZ,20200515,20200531,C5,Close public transport,1,1
Belize,BLZ,20200515,20200531,C6,Stay at home requirements,2,1
Belize,BLZ,20200519,,C7,Restrictions on internal movement,2,1
Belize,BLZ,20200601,,C2,Workplace closing,2,1
Belize,BLZ,20200601,,C5,Close public transport,0,
Belize,BLZ,20200601,,C6,Stay at home requirements,1,1
Bermuda,BMU,20200122,,H1,Public information campaigns,2,1
Bermuda,BMU,20200129,20200508,H2,Testing policy,1,
Bermuda,BMU,20200129,,H3,Contact tracing,2,
Bermuda,BMU,20200207,20200319,C8,International travel controls,3,
Bermuda,BMU,20200319,20200501,C5,Close public transport,2,1
Bermuda,BMU,20200320,,C1,School closing,3,1
Bermuda,BMU,20200320,20200325,C2,Workplace closing,1,1
Bermuda,BMU,20200320,,C8,International travel controls,4,
Bermuda,BMU,20200325,,E1,Income support,2,0
Bermuda,BMU,20200326,20200403,C2,Workplace closing,2,1
Bermuda,BMU,20200404,20200502,C2,Workplace closing,3,1
Bermuda,BMU,20200404,20200501,C3,Cancel public events,2,1
Bermuda,BMU,20200404,,C4,Restrictions on gatherings,4,1
Bermuda,BMU,20200404,20200501,C6,Stay at home requirements,2,1
Bermuda,BMU,20200404,20200501,C7,Restrictions on internal movement,2,1
Bermuda,BMU,20200502,,C3,Cancel public events,1,1
Bermuda,BMU,20200502,,C5,Close public transport,1,1
Bermuda,BMU,20200502,,C6,Stay at home requirements,1,1
Bermuda,BMU,20200502,,C7,Restrictions on internal movement,1,1
Bermuda,BMU,20200503,,C2,Workplace closing,2,1
Bermuda,BMU,20200509,,H2,Testing policy,3,
Bermuda,BMU,20200529,,E2,Debt/contract relief,1,
Bolivia,BOL,20200310,20200312,H1,Public information campaigns,1,1
